province_state,country_region,Bulanan,latitude,longitude,confirmed,deaths,recovered,active
Anhui,China,2020-05-31,31.8257,117.2264,30721,186,30535,0
Beijing,China,2020-05-31,40.1824,116.4142,18383,279,17709,395
Chongqing,China,2020-05-31,30.0572,107.874,17949,186,17763,0
Fujian,China,2020-05-31,26.0789,117.9874,11048,31,10987,30
Gansu,China,2020-05-31,37.8099,101.0583,2363,34,2329,0
Guangdong,China,2020-05-31,23.3417,113.4244,49294,248,48908,138
Guangxi,China,2020-05-31,23.8298,108.7881,7874,62,7812,0
Guizhou,China,2020-05-31,26.8154,106.8748,4557,62,4495,0
Hainan,China,2020-05-31,19.1959,109.7453,5225,186,5025,14
Hebei,China,2020-05-31,39.549,116.1306,5576,102,5444,30
Heilongjiang,China,2020-05-31,47.861999999999995,127.7615,15115,208,14063,844
Henan,China,2020-05-31,33.882,113.61399999999999,20416,352,20064,0
Hong Kong,China,2020-05-31,22.3,114.2,32692,124,30693,1875
Hubei,China,2020-05-31,30.9756,112.2707,2112115,139872,1972114,129
Hunan,China,2020-05-31,27.6104,111.7088,31589,124,31465,0
Inner Mongolia,China,2020-05-31,44.0935,113.9448,6636,31,5847,758
Jiangsu,China,2020-05-31,32.9711,119.455,20243,0,20223,20
Jiangxi,China,2020-05-31,27.614,115.7221,29047,31,29016,0
Jilin,China,2020-05-31,43.6661,126.1923,4264,47,3637,580
Liaoning,China,2020-05-31,41.2956,122.6085,4586,62,4486,38
Macau,China,2020-05-31,22.1667,113.55,1395,0,1317,78
Ningxia,China,2020-05-31,37.2692,106.1655,2325,0,2325,0
Qinghai,China,2020-05-31,35.7452,95.9956,558,0,558,0
Shaanxi,China,2020-05-31,35.1917,108.8701,9540,93,9042,405
Shandong,China,2020-05-31,36.3427,118.1498,24436,217,24114,105
Shanghai,China,2020-05-31,31.201999999999998,121.4491,10611,112,10183,316
Shanxi,China,2020-05-31,37.5777,112.2922,6136,0,6046,90
Sichuan,China,2020-05-31,30.6171,102.7103,17430,93,17298,39
Tianjin,China,2020-05-31,39.3054,117.323,5930,93,5791,46
Tibet,China,2020-05-31,31.6927,88.0924,31,0,31,0
Xinjiang,China,2020-05-31,41.1129,85.2401,2356,93,2263,0
Yunnan,China,2020-05-31,24.974,101.48700000000001,2960,32,2921,7
Zhejiang,China,2020-05-31,29.1832,120.0934,39308,31,39271,6
,Brunei,2020-05-31,4.5353,114.7277,4354,36,4158,160
,Burma,2020-05-31,21.9162,95.956,5780,186,2799,2795
,Cambodia,2020-05-31,11.55,104.9167,3804,0,3760,44
,Indonesia,2020-05-31,-0.7893,113.9213,546175,35759,124915,385501
,Laos,2020-05-31,19.856270000000002,102.495496,323,0,211,112
,Malaysia,2020-05-31,4.2104839999999992,101.97576600000001,116477,1873,89699,24905
,Philippines,2020-05-31,12.879721,121.77401699999999,208416,13067,39869,155480
,Singapore,2020-05-31,1.2833,103.8333,824865,655,275276,548934
,Thailand,2020-05-31,15.870032,100.992541,93701,1730,88276,3695
,Vietnam,2020-05-31,14.058323999999999,108.277199,5135,0,4254,881
,Brunei,2022-05-31,4.5353,114.7277,4494996,6831,,
,Burma,2022-05-31,21.9162,95.956,19007317,602454,,
,Cambodia,2022-05-31,11.55,104.9167,4224090,94736,,
Anhui,China,2022-05-31,31.8257,117.2264,33015,186,,
Beijing,China,2022-05-31,40.1824,116.4142,88276,279,,
Chongqing,China,2022-05-31,30.0572,107.874,21890,186,,
Fujian,China,2022-05-31,26.0789,117.9874,97247,31,,
Gansu,China,2022-05-31,35.7518,104.2861,21111,62,,
Guangdong,China,2022-05-31,23.3417,113.4244,224288,248,,
Guangxi,China,2022-05-31,23.8298,108.7881,49894,62,,
Guizhou,China,2022-05-31,26.8154,106.8748,5673,62,,
Hainan,China,2022-05-31,19.1959,109.7453,8928,186,,
Hebei,China,2022-05-31,37.8957,114.9042,62090,217,,
Heilongjiang,China,2022-05-31,47.862,127.7615,92410,403,,
Henan,China,2022-05-31,33.882,113.614,96020,682,,
Hong Kong,China,2022-05-31,22.3,114.2,37469941,290073,,
Hubei,China,2022-05-31,30.9756,112.2707,2120342,139872,,
Hunan,China,2022-05-31,27.6104,111.7088,43140,124,,
Inner Mongolia,China,2022-05-31,44.0935,113.9448,54336,31,,
Jiangsu,China,2022-05-31,32.9711,119.455,68807,0,,
Jiangxi,China,2022-05-31,27.614,115.7221,42847,31,,
Jilin,China,2022-05-31,43.6661,126.1923,1248387,155,,
Liaoning,China,2022-05-31,41.2956,122.6085,51643,62,,
Macau,China,2022-05-31,22.1667,113.55,2548,0,,
Ningxia,China,2022-05-31,37.2692,106.1655,3782,0,,
Qinghai,China,2022-05-31,35.7452,95.9956,4054,0,,
Shaanxi,China,2022-05-31,35.1917,108.8701,101654,93,,
Shandong,China,2022-05-31,36.3427,118.1498,84730,217,,
Shanghai,China,2022-05-31,31.202,121.4491,1915714,17575,,
Shanxi,China,2022-05-31,37.5777,112.2922,13018,0,,
Sichuan,China,2022-05-31,30.6171,102.7103,67534,93,,
Tianjin,China,2022-05-31,39.3054,117.323,57665,93,,
Tibet,China,2022-05-31,31.6927,88.0924,31,0,,
Unknown,China,2022-05-31,,,28178190,0,,
Xinjiang,China,2022-05-31,41.1129,85.2401,31246,93,,
Yunnan,China,2022-05-31,24.974,101.487,66039,62,,
Zhejiang,China,2022-05-31,29.1832,120.0934,97034,31,,
,Indonesia,2022-05-31,-0.7893,113.9213,187576506,4850207,,
,Laos,2022-05-31,19.85627,102.495496,6485367,23322,,
Johor,Malaysia,2022-05-31,1.4854,103.7618,11884637,139908,,
Kedah,Malaysia,2022-05-31,6.1184,100.3685,9285196,81742,,
Kelantan,Malaysia,2022-05-31,6.1254,102.2381,7676991,43989,,
Melaka,Malaysia,2022-05-31,2.1896,102.2501,3819438,34734,,
Negeri Sembilan,Malaysia,2022-05-31,2.7258,101.9424,6301437,45683,,
Pahang,Malaysia,2022-05-31,3.8126,103.3256,5310554,30183,,
Perak,Malaysia,2022-05-31,4.5921,101.0901,6268974,59468,,
Perlis,Malaysia,2022-05-31,6.4449,100.2048,538123,5721,,
Pulau Pinang,Malaysia,2022-05-31,5.4141,100.3288,8662818,61620,,
Sabah,Malaysia,2022-05-31,5.9788,116.0753,11511914,96888,,
Sarawak,Malaysia,2022-05-31,1.5533,110.3592,9486072,53687,,
Selangor,Malaysia,2022-05-31,3.0738,101.5183,41951405,330109,,
Terengganu,Malaysia,2022-05-31,5.3117,103.1324,3906174,26828,,
Unknown,Malaysia,2022-05-31,,,0,0,,
W.P. Kuala Lumpur,Malaysia,2022-05-31,3.139,101.6869,10934641,87403,,
W.P. Labuan,Malaysia,2022-05-31,5.2831,115.2308,662428,4805,,
W.P. Putrajaya,Malaysia,2022-05-31,2.9264,101.6964,620011,1340,,
,Philippines,2022-05-31,12.879721,121.774017,114332624,1873822,,
,Singapore,2022-05-31,1.2833,103.8333,38559563,42294,,
,Thailand,2022-05-31,15.870032,100.992541,135653519,913872,,
,Vietnam,2022-05-31,14.058324,108.277199,331500056,1335030,,
,Singapore,2020-03-31,1.2833,103.8333,8654,23,2811,5151
,Malaysia,2020-03-31,2.5,112.5,1013,0,271,
,Thailand,2020-03-31,15,101,416,9,276,
,Vietnam,2020-03-31,16,108,251,0,176,
,Philippines,2020-03-31,13,122,56,9,9,
,Indonesia,2020-03-31,-0.7893,113.9213,11971,989,572,8561
,Cambodia,2020-03-31,11.55,104.9167,984,0,127,854
,Brunei,2023-02-28,4.5353,114.7277,7758891,6300,,
,Burma,2023-02-28,21.9162,95.956,17748495,545720,,
,Cambodia,2023-02-28,11.55,104.9167,3883743,85568,,
Anhui,China,2023-02-28,31.8257,117.2264,63700,196,,
Beijing,China,2023-02-28,40.1824,116.4142,1141672,560,,
Chongqing,China,2023-02-28,30.0572,107.874,412020,308,,
Fujian,China,2023-02-28,26.0789,117.9874,479416,56,,
Gansu,China,2023-02-28,35.7518,104.2861,48776,56,,
Guangdong,China,2023-02-28,23.3417,113.4244,2890944,280,,
Guangxi,China,2023-02-28,23.8298,108.7881,374388,56,,
Guizhou,China,2023-02-28,26.8154,106.8748,70952,56,,
